"","STYPE","MAANTHUI","MGEMOMV","MGEMLEEF","MOSHOOFD","MGODRK","MGODPR","MGODOV","MGODGE","MRELGE","MRELSA","MRELOV","MFALLEEN","MFGEKIND","MFWEKIND","MOPLHOOG","MOPLMIDD","MOPLLAAG","MBERHOOG","MBERZELF","MBERBOER","MBERMIDD","MBERARBG","MBERARBO","MSKA","MSKB1","MSKB2","MSKC","MSKD","MHHUUR","MHKOOP","MAUT1","MAUT2","MAUT0","MZFONDS","MZPART","MINKM30","MINK3045","MINK4575","MINK7512","MINK123M","MINKGEM","MKOOPKLA","PWAPART","PWABEDR","PWALAND","PPERSAUT","PBESAUT","PMOTSCO","AAUT","PAANHANG","PTRACTOR","PWERKT","PBROM","PLEVEN","PPERSONG","PGEZONG","PWAOREG","PBRAND","PZEILPL","PPLEZIER","PFIETS","PINBOED","PBYSTAND","AWAPART","AWABEDR","AWALAND","APERSAUT","ABESAUT","AMOTSCO","AVRAAUT","AAANHANG","ATRACTOR","AWERKT","ABROM","ALEVEN","APERSONG","AGEZONG","AWAOREG","ABRAND","AZEILPL","APLEZIER","AFIETS","AINBOED","ABYSTAND","CARAVAN"
"1","15",1,3,"2","06","01","06","2","04","08","1","03","02","03","07","02","03","08","02","1","02","03","06","03","02","02","03","07","02","02","09","09","01","02","09","02","01","05","06","01","01","05","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","6","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"2","20",1,2,"2","06","02","05","2","05","07","3","03","01","05","06","01","06","05","01","1","01","06","01","05","01","03","04","06","01","03","08","08","02","03","07","04","03","01","06","03","01","06","5","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"3","20",1,2,"2","06","01","05","3","05","04","3","05","05","05","03","01","06","05","01","1","01","08","01","03","01","06","01","05","01","08","03","08","01","03","10","01","05","06","01","01","01","04","5","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"4","21",1,3,"3","01","03","04","3","05","06","3","03","03","04","05","04","05","03","05","1","01","04","02","03","04","03","02","05","01","06","05","10","01","01","08","03","02","06","04","01","01","05","5","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"5","11",1,4,"2","07","02","05","2","05","08","2","03","03","05","05","06","05","01","01","6","05","01","01","01","10","01","01","01","01","05","06","07","03","02","06","05","01","01","10","01","01","07","4","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","7","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"6","36",1,2,"1","08","01","06","1","06","01","7","04","04","06","03","01","06","05","03","1","01","05","03","03","03","03","03","05","03","10","01","06","04","04","10","01","06","03","04","01","01","04","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"7","13",2,3,"2","03","03","03","1","06","08","3","01","01","04","07","01","05","06","01","1","01","05","02","06","01","02","05","06","01","07","04","09","01","02","10","01","05","04","04","01","01","04","6","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"8","15",1,2,"3","06","01","08","1","03","08","3","01","01","06","05","01","04","07","03","1","01","03","06","03","03","02","03","06","03","01","10","05","05","03","07","04","03","06","04","01","01","04","4","1","1","1","01","1","1","01","1","1","1","4","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"9","15",1,2,"4","06","01","02","4","07","07","1","04","04","04","04","01","02","09","02","2","01","02","09","02","02","02","01","09","02","10","01","06","03","04","08","03","08","03","02","01","01","03","4","1","1","1","06","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"10","07",2,3,"3","01","04","06","1","03","08","1","03","03","03","07","01","05","06","03","1","01","04","04","04","02","03","02","05","03","01","10","07","02","03","07","04","03","04","04","02","01","05","8","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"11","29",1,4,"3","01","02","05","2","05","08","2","03","01","04","07","05","04","04","01","1","01","10","01","01","04","01","07","01","01","01","10","07","03","02","06","05","01","04","03","03","03","09","8","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
